MaxDiff,date,deviceID
1.497,2022-10-26,890771058952
1.168,2022-10-25,890771058952
0.927,2022-10-31,890771058996
0.7440000000000001,2022-11-07,890771058996
0.723,2022-11-10,890771058996
0.6090000000000001,2022-10-29,890771058996
0.5310000000000001,2022-10-25,890771058996
0.5059999999999999,2022-11-03,890771058996
0.5,2022-10-30,890771058996
0.4970000000000001,2022-10-27,890771058996
0.496,2022-10-26,890771058996
0.4340000000000001,2022-11-09,890771058996
0.412,2022-10-24,890771058996
0.409,2022-11-04,890771058996
0.3840000000000001,2022-10-26,890771058923
0.3770000000000001,2022-10-07,890771059000
0.371,2022-11-08,890771058996
0.365,2022-11-01,890771058996
0.36200000000000004,2022-11-02,890771058996
0.2860000000000001,2022-11-05,890771058996
0.28400000000000003,2022-11-06,890771058996
0.20100000000000007,2022-09-16,890771058913
0.18100000000000016,2022-11-03,890771058918
0.179,2022-08-30,890771058913
0.13699999999999998,2022-08-24,890771058918
0.102,2022-09-30,890771058918
0.09799999999999998,2022-11-03,890771058952
0.09699999999999999,2022-10-28,890771058996
0.09199999999999986,2022-10-18,890771058918
0.08900000000000008,2022-08-25,890771058913
0.08700000000000008,2022-09-30,890771058913
0.084,2022-11-02,890771058923
0.08399999999999996,2022-10-18,890771058913
0.08200000000000007,2022-08-24,890771058913
0.07399999999999995,2022-11-03,890771058913
0.07399999999999984,2022-11-02,890771058913
0.07299999999999995,2022-10-09,890771058913
0.07,2022-10-17,890771058918
0.068,2022-11-01,890771058918
0.065,2022-11-02,890771058918
0.06400000000000018,2022-08-25,890771059000
0.06300000000000006,2022-08-24,890771059000
0.063,2022-08-25,890771058918
0.05999999999999999,2022-11-01,890771058913
0.05900000000000001,2022-08-24,890771058921
0.058999999999999934,2022-08-30,890771059000
0.057,2022-11-01,890771058923
0.05699999999999994,2022-10-17,890771059000
0.05499999999999999,2022-11-02,890771058952
0.05300000000000017,2022-08-25,890771058921
0.05000000000000005,2022-09-23,890771058913
0.04899999999999999,2022-08-20,890771058918
0.04899999999999993,2022-10-18,890771059000
0.04899999999999993,2022-10-01,890771059000
0.04800000000000002,2022-08-20,890771058913
0.048,2022-10-25,890771058918
0.04599999999999993,2022-08-19,890771058915
0.04499999999999993,2022-09-19,890771058918
0.044000000000000004,2022-11-06,890771058913
0.04300000000000015,2022-10-20,890771058918
0.04200000000000004,2022-08-19,890771059000
0.042,2022-08-26,890771058915
0.040000000000000036,2022-09-18,890771058918
0.039000000000000035,2022-08-28,890771058915
0.038000000000000034,2022-10-19,890771059000
0.038000000000000006,2022-08-20,890771058915
0.038000000000000006,2022-10-31,890771058918
0.036999999999999984,2022-11-03,890771058923
0.036000000000000004,2022-10-25,890771059000
0.03599999999999999,2022-09-21,890771058918
0.03599999999999999,2022-09-30,890771059000
0.03599999999999992,2022-08-25,890771058915
0.03599999999999992,2022-11-04,890771058952
0.035,2022-10-25,890771058923
0.034000000000000134,2022-10-19,890771058918
0.03299999999999992,2022-08-20,890771058921
0.032,2022-08-30,890771058918
0.031,2022-10-31,890771058913
0.030000000000000006,2022-10-30,890771058918
0.029,2022-11-01,890771058952
0.028999999999999998,2022-09-19,890771059000
0.028999999999999918,2022-10-20,890771059000
0.028,2022-10-31,890771058923
0.028,2022-09-16,890771058918
0.027000000000000003,2022-08-24,890771058915
0.026000000000000027,2022-09-07,890771058915
0.02600000000000001,2022-10-06,890771059000
0.025999999999999968,2022-10-07,890771058913
0.025,2022-10-31,890771058952
0.024999999999999908,2022-08-20,890771059000
0.024000000000000243,2022-10-05,890771059000
